city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop
Hauppauge,2013,119.2542248,2.013673589,1.640771073,46.23991205,69.35986808,1340833
Mineola,1978,91.35275708,1.181677455,2.090660112,61.44722765,26.63319187,1100131
Mineola,1976,84.22807862,1.8991675,2.184042625,62.57756912,17.56729937,1053093
Mineola,1980,139.3551536,1.90636325,2.66890855,88.26461847,46.5152633,1049118
Hauppauge,1995,187.0914332,2.473663727,2.7210301,78.90987289,102.9868665,1212776
Hauppauge,1997,171.1910204,2.716011381,2.798314756,73.49691403,92.1797802,1215017
Mineola,1975,90.23778064,1.635730163,2.998838632,62.33949398,23.26371787,1100426
Hauppauge,1996,169.7539225,3.201355405,3.119269369,77.65339007,85.77990764,1218234
Hauppauge,2012,133.0283343,1.709302619,3.121335218,50.61022104,77.58747542,1345578
Hauppauge,2011,139.0108282,2.389015308,3.135582591,55.84323282,77.6429975,1339464
Fairfax,2000,16.49456269,0.2142151,3.213226497,11.46050784,1.606613249,933641
Fairfax,2004,61.02284145,0.205464113,3.287425802,36.36714793,21.1628036,973406
Hauppauge,1994,208.6449984,3.059795854,3.307887409,101.3867491,100.890566,1209231
Fairfax,2001,26.26443753,0.210959338,3.375349401,18.2479827,4.430146089,948050
Mineola,1981,161.9956959,2.560821891,3.509274443,115.9957471,39.92985245,1054349
Mineola,1979,113.6817887,1.808779454,3.527119935,69.90932589,38.43656339,1105718
Mineola,1982,159.2255872,1.889917949,3.685340001,107.6308272,46.01950206,1058247
Mineola,2013,131.6999018,1.13371508,4.062479038,66.70023723,59.80347049,1058467
Hauppauge,2010,152.3092741,3.749612852,4.124574138,61.04369724,83.39138984,1333471
Mineola,2011,138.3977356,0.664005585,4.173749393,67.63371175,65.92626882,1054208
Fairfax,2002,49.89610176,0.831601696,4.261958692,31.28901381,13.51352756,961999
Hauppauge,2009,167.7724452,2.368203902,4.588395061,71.04611707,89.76972917,1351235
Mineola,1977,101.2492512,1.818275777,4.593538805,70.24286422,24.59457235,1044946
Mineola,1989,174.6325023,2.485191603,4.970383207,91.95208933,75.22483815,1046197
Mineola,1983,141.0185449,2.928047483,5.10046981,89.82494054,43.1650871,1058726
Mineola,2012,156.4572183,1.135118875,5.297221418,68.39091224,81.63396578,1057158
Hauppauge,1993,259.1039363,3.633069853,5.36703501,140.1208987,109.9829328,1211097
Mineola,2008,149.815396,1.309248155,5.42402807,69.95125856,73.13086122,1069316
Fairfax,2006,78.00845636,1.429474331,5.513686706,42.68001932,28.38527601,979381
Fairfax,2003,66.60170944,0.616682495,5.652922869,36.17870636,24.15339771,972948
Fairfax,2005,58.63840601,1.427717712,5.812850683,30.38999129,21.00784633,980586
Mineola,1998,150.883678,1.260596281,5.818136684,65.74494452,78.0600005,1031258
Hauppauge,2015,124.8646058,1.789104799,5.88913663,50.46766454,66.7186998,1341453
Fairfax,2007,89.41081041,1.53626822,6.042654999,50.18476186,31.64712533,976392
Mineola,1997,157.3927798,1.170206541,6.046067131,73.33294326,76.84356289,1025460
Hauppauge,2005,185.8296885,2.127240915,6.229776966,78.78388676,98.68878389,1316259
Mineola,1990,193.7775331,2.079370565,6.238111694,100.403893,85.05615786,1009921
Hauppauge,1992,289.7019791,4.088535995,6.257963258,147.9382514,131.4172284,1198473
Mineola,1984,181.8095868,3.214522076,6.334499385,99.36655006,72.89401532,1057700
Fairfax,2008,75.14304896,1.847779892,6.364575185,35.2104724,31.72022149,974142
Mineola,2015,124.201946,1.22505713,6.407991142,52.30051594,64.26838175,1061175
Hauppauge,2006,188.5395895,2.811755265,6.535431156,78.04520695,101.1471961,1315904
Mineola,2010,142.5319816,1.429130831,6.669277212,64.02506124,70.40851228,1049589
Hauppauge,2008,159.1782113,2.866089676,6.687542578,65.4056362,84.2189428,1360739
Hauppauge,2007,168.4813754,2.139446036,6.800382044,66.78127985,92.76026743,1308750
Mineola,1995,182.0740447,1.657878286,6.82655765,85.52701513,88.06259368,1025407
Mineola,2007,159.049777,1.358570396,6.889892721,72.58647543,78.2148385,1030495
Mineola,1993,205.8777765,1.750495974,6.904734119,109.7949975,87.42754892,1028280
Mineola,1996,178.4715637,0.778077662,6.905439249,81.21185596,89.57619082,1028175
Mineola,2009,155.2408458,1.703862941,7.00476987,71.37292543,75.15928752,1056423
Mineola,2006,173.6177613,1.340677693,7.086439237,82.93049161,82.26015276,1044248
Mineola,1992,232.0244923,1.769678331,7.177028789,135.7736542,87.30413102,1017134
Mineola,2005,171.0247943,1.526155443,7.249238353,79.45546774,82.79393277,1048386
Fairfax,1999,63.6130908,1.659471934,7.301676509,28.54291726,26.10902509,903902
Mineola,2004,167.6623205,0.952626821,7.33522652,68.97018183,90.4042853,1049729
Hauppauge,1975,79.16564014,1.067586433,7.390983001,43.6067997,27.100271,1217700
Mineola,1994,191.195836,1.266197589,7.49978572,98.08161325,84.3482394,1026696
Hauppauge,1981,142.783672,1.803040957,7.813177482,70.40445643,62.76299713,1164699
Hauppauge,2000,188.3498569,1.96771685,7.870867401,70.75909794,107.7521747,1270508
Mineola,1987,177.3066493,2.090432092,7.886630166,95.96983697,71.35975006,1052414
Hauppauge,1984,140.3552945,2.126595372,7.910934783,63.79786116,66.51990323,1175588
Mineola,1985,165.9285299,1.686455978,8.057511897,93.6919988,62.4925632,1067327
Mineola,1999,148.6064503,1.554054382,8.061657108,79.15964509,59.83109371,1029565
Mineola,1986,185.933361,1.786013074,8.084059175,94.56469221,81.49859657,1063822
Fairfax,1997,104.2963439,1.835799232,8.146359094,51.28764106,43.02654451,871555
Mineola,2000,140.2894646,1.823187296,8.156364219,67.64984441,62.66006865,1042131
Mineola,2003,169.8996643,1.233908176,8.162777167,73.4649945,87.03798444,1053563
Mineola,1988,192.8081878,2.00344975,8.204603737,98.45524484,84.14488949,1048192
Hauppauge,2014,117.4845485,2.161834966,8.274609696,42.26760088,64.78050293,1341453
Hauppauge,2004,172.9155405,2.134759759,8.310314778,64.42399988,98.0464661,1311623
Mineola,1991,225.6073741,2.663488894,8.38505763,116.5029772,98.0558504,1013708
Hauppauge,2003,184.0741019,2.376633552,8.586547027,73.44564332,99.665278,1304366
